domain,pages,median_depth,max_depth,pct_deep_ge5
mdhs.unimelb.edu.au,6072,3,8,4
study.unimelb.edu.au,4048,5,10,58
medicine.unimelb.edu.au,3213,5,9,59
law.unimelb.edu.au,3188,4,10,43
handbook.unimelb.edu.au,3000,3,5,0
arts.unimelb.edu.au,2446,4,7,27
msd.unimelb.edu.au,2348,6,9,65
fbe.unimelb.edu.au,2241,3,7,11
scholarships.unimelb.edu.au,2226,1,3,0
eng.unimelb.edu.au,1985,3,11,16
biomedicalsciences.unimelb.edu.au,1584,4,10,33
finearts-music.unimelb.edu.au,1444,3,8,20
education.unimelb.edu.au,852,3,7,17
students.unimelb.edu.au,833,3,6,23
research.unimelb.edu.au,662,4,6,7
science.unimelb.edu.au,420,3,5,34
dental.unimelb.edu.au,204,3,6,36
services.unimelb.edu.au,176,3,5,1
www.unimelb.edu.au,137,4,8,12
mbs.unimelb.edu.au,83,3,4,0
