section,pages
find,3361
how-to-apply,280
study-with-us,148
student-life,126
accommodation,46
connect-with-us,25
discover,24
lp,15
support,9
openday,5
(root),2
search,2
dashboard,1
change-of-preference,1
glossary,1
page-not-found-404-esi,1
fac,1
find/courses,2944
find/microcredentials,110
find/study-areas,102
how-to-apply/graduate-coursework-study,75
how-to-apply/undergraduate-study,70
study-with-us/graduate-courses,64
student-life/meet-our-students,59
student-life/inside-melbourne,48
how-to-apply/auditions-and-interviews,39
study-with-us/professional-development,37
find/short-courses,35
find/pathways,30
discover/search,22
how-to-apply/international-exchange-and-study-abroad-applications,18
how-to-apply/equity-entry-schemes,15
study-with-us/undergraduate-courses,13
how-to-apply/graduate-research,13
study-with-us/guaranteed-undergraduate-to-graduate-study-pathways,12
how-to-apply/special-entry-access-schemes,12
connect-with-us/information-for-schools,12
how-to-apply/english-language-requirements,10
accommodation/wilam-hall,9
study-with-us/online-courses,7
connect-with-us/high-school-programs,7
how-to-apply/fees,6
student-life/life-at-melbourne,6
accommodation/international-house,6
accommodation/blog,6
how-to-apply/single-subject-study,5
student-life/events,5
